Título|Fecha|Buesqueda por:
Geología de las Planchas 44 Sincelejo y 52 Sahagún. Escala: 1:100.000. Producto. Versión año 1998 - 2001.|Fecha: 01/01/1998|Hidrogeología
Inventario de amenazas Geológicas en algunos Municipios del Valle del Cauca (Por Solicitud del Comité de Emergencia Departamental COE).Versión año 1989.|Fecha: 31/12/1989|Hidrogeología
Prospección Hidrogeológica en el Noreste de Urabá. Versión Año 1985. Informe 2054. Producto|Fecha: 01/08/1985|Hidrogeología
Mapa Hidrogeológico Del Area Metropolitana De Bucaramanga.-|Fecha: 01/01/2002|Hidrogeología
Hidrogeología de las Cuencas de los Ríos Bojacá y Balsillas, Sabana de Bogotá. Versión año 1991. Informe 2119. Producto|Fecha: 01/03/1991|Hidrogeología
Boletín Geológico. Volumen 29. No. 1. Resumen del estudio Hidrogeológico del Flanco Nororiental de la Serranía de San Jacinto y de la Zona Litoral del Golfo de Morrosquillo. Resumen del estudio Hidrogeológico de la Media y Baja Guajira. Resumen de la Hidrogeología de los Departamentos de Atlántico y Bolívar al Norte del Canal del Dique. Versión año 1988. Boletín|Fecha: 01/12/1988|Hidrogeología
Hidrogeología de La Vereda Pata, municipio de Aipe, departamento Huila. Versión año 1972. Producto|Fecha: 01/04/1972|Hidrogeología
Hidrogeología de la vereda la Victoria, municipio de Villavieja departamento Huila|Fecha: 30/04/1972|Hidrogeología
Inventario de Puntos de Agua Subterránea en los Departamentos de Córdoba y Sucre. Año 1998. Proyecto P97M05 Hidrogeología del Territorio Colombiano. Versión año 1998. Producto|Fecha: 01/08/1998|Hidrogeología
Estudio Hidrogeológico Cuantitativo de la Sabana de Bogotá. Hidrogeología de las Cuencas de los Ríos Muña, Soacha y Tunjuelito. Hidrogeología del Sector de Sisga, Tibio y Embalse de Tominé. Sabana de Bogotá. Versión año 1992. Informe 2150. Producto|Fecha: 01/07/1992|Hidrogeología
Hidrogeología de la Cuenca del Río Subachoque. Proyecto: Estudio Hidrogeológico Cuantitativo de la Sabana de Bogotá. Versión año 1990. Informe 2118. Producto|Fecha: 01/12/1990|Hidrogeología
Hidrogeología del Hospital de San Carlos. Sur de Bogotá. Versión año 1953. Informe 900. Producto|Fecha: 17/02/1953|Hidrogeología
Consideraciones Sobre Hidrogeología Oficial. Versión año 1952. Informe 888. Producto|Fecha: 01/11/1952|Hidrogeología
Hidrogeología preliminar del área Sora, Cucaita, Leiva, Sáchica, Sutamarchan. Boyacá. Versión año 1967. Informe 1527. Producto|Fecha: 01/05/1967|Hidrogeología
Hidrogeología de los alrededores del Instituto Misionero Bogotá, Cundinamarca. Escala 1:25:000. Versión Año 1958. Informe 1315. Producto|Fecha: 01/12/1958|Hidrogeología
Síntesis del Estudio de Aguas Subterráneas en los Valles de Ubaté y Chiquinquirá. Año 1981. Informe 1856|Fecha: 01/07/1981|Hidrogeología
Estudio Hidrogeológico Cuantitativo de la sabana de Bogotá-Mapa Hidrogeológico y localización de pozos, Aljibes y manantiales. - Sector Sisga-Tibito y Embalse de Tomine. Versión Año 1993. Informe 2221|Fecha: 01/03/1993|Hidrogeología
Hidrogeología en el Corregimiento de Santiago Apóstol y el Municipio de Caimito, Sucre. Versión año 1988. Informe 2091. Producto|Fecha: 01/12/1988|Hidrogeología
Abastecimiento de agua potable en algunas poblaciones de Atlántico, Bolívar, Córdoba y Sucre|Fecha: 01/10/1988|Hidrogeología
Hidrogeología del Acuífero Leticia.-|Fecha: 01/08/1999|Hidrogeología
Resultados de la Perforación, Construcción y Análisis del Pozo 323 IV D 023, San Mateo, Municipio de Rivera, Huila -|Fecha: 01/07/2000|Hidrogeología
Libreta de campo - Localización de Pozos - Hidrogeología.|Fecha: 01/01/1972|Hidrogeología
Estudio Geoeléctrico para La Prospección de Aguas Subterráneas en Cinco Localidades del Departamento de Bolívar. Guasimal, Sincelejito, Santa Lucía, San Francisco de Loba y La Nueva Esperanza. Versión año 1994. Producto|Fecha: 01/11/1994|Hidrogeología
Resultados Prácticos de los Trabajos de la Sección de Hidrogeología del Instituto Geológico Nacional, en Tres Años de Labores. Año 1956. Informe 1207|Fecha: 31/12/1956|Hidrogeología
Hidrogeología de la cuenca del río Chicú, Sabana de Bogotá - Estudio hidrogeológico cuantitativo de la Sabana de Bogotá. Año 1990. Informe 2113|Fecha: 01/01/1990|Hidrogeología
Hidrogeología de las Haciendas El Coco y San Isidro, Municipios de Santa Catalina y Cartagena, Departamento de Bolívar. -|Fecha: 30/09/1960|Hidrogeología
La Hidrología Subterránea al Sur de la Loma de Suba Departamento de Cundinamarca. Versión año 1946. Informe 509. Producto|Fecha: 01/02/1946|Hidrogeología
Hidrogeología de la Hacienda Contreras. Municipio de San Luis. Departamento del Tolima. Informe 1359. Versión año 1960. Producto|Fecha: 01/01/1960|Hidrogeología
Informe Hidrogeología del Acuífero de Leticia. Amazonas.-|Fecha: 01/09/1999|Hidrogeología
Geología e inventarios de puntos de agua en la población de Ciénaga y sus alrededores. Año 1990. Informe 2128|Fecha: 01/02/1991|Hidrogeología
Geología e inventario de puntos de agua en la ribera oriental del río Magdalena entre las poblaciones de Plato y Sitio Nuevo, Magdalena. Año 1990. Informe 2130|Fecha: 01/06/1990|Hidrogeología
Estudio del Acuífero de San Andrés y Recuperación del Campo de Pozos. Informe “Hidrogeología de la Isla de San Andres”. Versión año 1993. Informe 2206. Producto|Fecha: 01/02/1993|Hidrogeología
Estudio Hidrogeológico cuantitativo de la sabana de Bogotá. -Hidrogeología de la cuenca de los Ríos alto Bogotá y Sisga Sabana de Bogotá. Año 1992. Informe 2151|Fecha: 01/01/1992|Hidrogeología
Hidrogeología de la cuenca del río Teusacá, Sabana de Bogotá. Año 1993, Informe 2220|Fecha: 01/10/1993|Hidrogeología
Aspectos Estructurales de la Sabana de Bogotá, Dentro del Proyecto de Exploración de Aguas Subterráneas del Área de Minería. Año 2000|Fecha: 01/01/2000|Hidrogeología
Geología de Las Áreas de Ubaté y Chiquinquirá. Versión año 1981. Informe 1830. Producto|Fecha: 01/07/1981|Hidrogeología
Análisis y Diseño del Modelo Lógico y Conceptual del Subsistema de Información Geotérmica. Versión año 2013. Producto|Fecha: 01/11/2013|Hidrogeología
Hidrogeología en el Estado de Israel.|Fecha: 01/02/1964|Hidrogeología
Hidrogeología del sector Tibitó- Salto del Tequendama y oriente Bogotano, Sabana de Bogotá. Año 1991. Informe 2148|Fecha: 30/09/1991|Hidrogeología
Hidrogeología del valle del río Cauca entre Santander de Quilichao y el río Sonso. Año 1971, Informe 1568|Fecha: 01/07/1971|Hidrogeología
Hidrogeología de la isla de Mompos, Departamento de Bolívar. Año 1988. Informe 2096|Fecha: 01/12/1988|Hidrogeología
Zonificación Climática (Sistema de Clasificación Thozhthwaite) -Plancha 5-04-.|Fecha: 31/12/2002|Hidrogeología
Hidrogeología de los Departamentos de Atlántico y Bolívar al Norte del Canal del Dique. Año 1985. Informe 1971|Fecha: 01/10/1985|Hidrogeología
Mapa de Vulnerabilidad Intrínseca de los Acuíferos a la contaminación. Departamento de Sucre. (Metodología GOD)|Fecha: 31/12/2001|Hidrogeología
Mapa de características geoeléctricas del Atlas de Aguas Subterráneas de Colombia a Escala 1: 500000. - Planchas 5-13; 5-14. Informe de Compilación y Avance de Coberturas;Mapa de características geoeléctricas del Atlas de Aguas Subterráneas de Colombia a Escala 1: 500000. - Planchas 5-13, 5-14. Informe de Compilación y Avance de Coberturas|Fecha: 30/05/2003|Hidrogeología
Atlas de Aguas Subterráneas de Colombia. Hidrogeología de las Planchas 5-01, 5-02, 5-03, 5-04, 5-06, 5-09, 5-13, 5-14. Escala 1:500.000. Versión Año 2003-2004. Producto|Fecha: 01/08/2004|Hidrogeología
Prospección de aguas subterráneas para riego en los Municipios de San Juan del Cesar, Villanueva y Urumita, Departamento de la Guajira. Año 1990. Informe 2110|Fecha: 01/03/1990|Hidrogeología
Consideraciones hidrogeológicas del área Flor de la Guajira, Castilletes- Puerto Lopez, península de La Guajira, Colombia. Año 1989. Año 1989. Informe 2093|Fecha: 01/03/1989|Hidrogeología
Modelo Hidrogeológico del Departamento de la Guajira. Escala 1:250.000. Producto. Versión año 2016|Fecha: 01/07/2016|Hidrogeología
Prospección Geoeléctrica para el Municipio de Sutamarchán, Boyacá. Versión año 1989. Producto|Fecha: 01/01/1989|Hidrogeología
Modelo hidrogeológico en el Municipio de Apartado, Urabá Antioqueño – Tesis. Año 1997. Informe 2300|Fecha: 01/06/1997|Hidrogeología
Estudio de iso-rresistividad - Municipio de Tuluá - Plancha No. 261-II-C. Versión Año 1993. Producto|Fecha: 31/12/1993|Hidrogeología
Resultados de las pruebas de bombeo realizadas en el pozo Babillas 1 de la Empresa Hocol S.A. Año 1993|Fecha: 01/04/1993|Hidrogeología
Modelo Hidrogeológico Conceptual de la Sabana de Bogotá. Aplicación de Técnicas Isotópicas en los Estudios de Aguas Subterráneas COL 8019. Versión año 2002. Producto|Fecha: 01/07/2002|Hidrogeología
Evaluación de la Recarga Proveniente de la Precipitación para el Departamento de Sucre. Versión año 1999. Producto|Fecha: 01/02/1999|Hidrogeología
Evaluación del Riesgo de Contaminación de las Aguas Subterráneas en la Isla de San Andrés. Versión año 1997. Producto|Fecha: 01/06/1997|Hidrogeología
Mapa Hidrogeológico del Municipio de Nobsa, Plancha . Año 1981|Fecha: 01/02/1981|Hidrogeología
Estudio Hidrológico de La Guajira. Versión año 1980. Producto|Fecha: 01/12/1980|Hidrogeología
Libreta de campo - Proyecto Guajira I - Geológia Nazareth - FM 1 - FM 107 - Hidrogeología.|Fecha: 12/07/1972|Hidrogeología
Pozo Puerto Salgar No.3, Cundinamarca. -|Fecha: 01/08/1970|Hidrogeología
Yacimientos de Aguas Termales en Colombia. Versión año 1960. Informe 1399. Producto|Fecha: 01/01/1960|Hidrogeología
Modelo Hidrogeológico Conceptual Preliminar de la Isla de San Andrés.|Fecha: 01/12/1998|Hidrogeología
Hacienda Santo Tomás, municipios de Momil y Purísima, Sucre. Estudio Hidrogeológico y Geoeléctrico para Exploración de Aguas Subterráneas. Versión año 1996. Producto|Fecha: 01/05/1996|Hidrogeología
Planta Hidroeléctrica del Río Iquira. Primer Desarrollo. Escala 1: 5.000. Versión año 1951. Producto|Fecha: 01/08/1951|Hidrogeología
Memorandum sobre Algunas Perforaciones para Agua en el Municipio de Sincelejo. Versión año 1954. Informe 1054. Producto|Fecha: 01/09/1954|Hidrogeología
Perforación de un Pozo para Agua en Cajicá, Cundinamarca. Versión año 1957. Informe 1241. Producto|Fecha: 01/09/1957|Hidrogeología
Análisis de los resultados de la construcción del pozo “Julio” Maicao (Guajira). Año 1994|Fecha: 01/07/1994|Hidrogeología
Informe de Limpieza, Desarrollo y Pruebas de Bombeo Pozo la Quinta, 1 Rivera, Huila. Versión año 2002. Producto|Fecha: 01/08/2002|Hidrogeología
Croquis Geológico Usme al Sur. Versión Año 1943. Producto|Fecha: 31/12/1943|Hidrogeología
El Abastecimiento de Agua de Cáqueza. Versión año 1940. Informe 339. Producto|Fecha: 04/06/1940|Hidrogeología
Aguas Subterráneas Aplicación del Modelo de Simulación GRWF – SALT al Acuífero de San Andrés Islas. Versión año 1987. Tesis No 41|Fecha: 01/01/1987|Hidrogeología
El Servicio Geológico Colombiano 1916-2016. Cien años al Servicio de Colombia. Versión año 2016. Libro|Fecha: 30/06/2018|Hidrogeología
Deslizamientos al SE de Bogotá. Versión año 1956. Informe 1146. Producto|Fecha: 01/01/1956|Hidrogeología
Boletín Geológico. Volumen 5 Numero 1. Versión año 1957. Boletín|Fecha: 01/01/1957|Hidrogeología
Boletín Geológico. Volumen 1 Numero 6 - 7. Versión año 1953. Boletín|Fecha: 01/06/1953|Hidrogeología
Informe Técnico del Pozo 264 IB-1 Nataima en el Centro Regional de Investigaciones Nataima, Espinal, Tolima. Versión año 1986. Informe 2042. Producto|Fecha: 01/07/1986|Hidrogeología
Informe Geológico de las Obras de Irrigación de los Llanos del Tolima. Versión año 1943. Informe 404. Producto|Fecha: 01/12/1943|Hidrogeología
Informe final - Evaluacion hidrogeológico y de contaminación de acuíferos en la zona bananera de Santa Marta, departamento del Magdalena.|Fecha: 31/07/1998|Hidrogeología
Resultado de una Perforación de Ensayo en Madrid, Cundinamarca. Versión año 1957. Informe 1223. Producto|Fecha: 01/03/1957|Hidrogeología
Las Perforaciones en el Departamento del Huila durante los Meses de Junio, Julio y Agosto de 1960. Informe 1373. Producto|Fecha: 01/09/1960|Hidrogeología
Mapa de Abastecimiento de Agua con Indicaciones de Pozos Artesianos, Aljibes y Aguas Subterráneas La Guajira. Escala 1:200.000. Versión año 1951. Producto|Fecha: 01/12/1951|Hidrogeología
Aguas Subterráneas en la Hacienda Albaida, Municipio de Ubaté, Departamento de Cundinamarca. Versión año 1949. Informe 652. Producto|Fecha: 01/08/1949|Hidrogeología
Aguas Subterráneas de la Hacienda La Cabaña, Municipio de Ubaté, Departamento de Cundinamarca. Versión año 1949. Informe 675. Producto|Fecha: 01/08/1949|Hidrogeología
Modelo Hidrogeológico del Área de San José del Guaviare. Escala 1:50.000. Versión año 2016. Producto|Fecha: 01/06/2016|Hidrogeología
Cortes Geoeléctricos - Figura 5 -|Fecha: 18/07/1986|Hidrogeología
Anotaciones Sobre un Posible Abastecimiento de los Barrios al Sur de Bogotá, con Agua Subterránea. Versión año 1954. Informe 1053. Producto|Fecha: 01/09/1954|Hidrogeología
Concepto Técnico Sobre el Acuífero Aluvial del Arroyo Nazareth y su posible Acueducto Regional Nazareth - Puerto Estrella. Municipio de Uribía. Guajira. Año 1998|Fecha: 01/12/1998|Hidrogeología
Informe: Caracterización Geoeléctrica de los Principales Acuíferos para el Mapa Hidrogeológico de Córdoba, a Escala 1:250.000.|Fecha: 01/06/2003|Hidrogeología
Evaluación del Efecto de la Explotación de Agua Subterránea mediante los Pozos Babillas 1 y 2 sobre las Fuentes Superficiales de agua.Versión Año 1995. Informe 2226. Producto|Fecha: 01/10/1995|Hidrogeología
Actualización de Información Hidrogeológica de Campo, Mapa Hidrogeologico de Córdoba Escala 1:250000.-|Fecha: 01/09/2002|Hidrogeología
Sector Embalse Chivor. Mapa de Pendientes.|Fecha: 01/08/1993|Hidrogeología
End off Misión Report. Informes de la Misión a Piura-Perú.|Fecha: 01/04/2003|Hidrogeología
End off Misión Report. Informes de la Misión a Machala-Ecuador y Tumbes-Perú.-|Fecha: 01/09/2002|Hidrogeología
Perspectivas del Agua Subterránea en Colombia.|Fecha: 01/11/2002|Hidrogeología
Registro de Tiempo - Columna Litológica - Pozo 227-II-B 257 Yerbabuena 3|Fecha: 01/12/1991|Hidrogeología
Asesoría Técnica -Interventoría Perforación y Construcción del Pozo Terreros ll y su Piezómetro Municipio de Soacha, Cundinamarca. Año 1997|Fecha: 01/07/1997|Hidrogeología
Evaluación Hidrogeológica del Abanico de Ibagué - Departamento del Tolima. Versión año 1997. Informe 2281. Producto|Fecha: 30/12/1997|Hidrogeología
Estudio sobre el área norte del canal del dique.|Fecha: 01/12/1984|Hidrogeología
Hidrogramas del Río Ranchería en el Cercado y en Cuestecita. Escala 1: 5.000. Producto|Fecha: 01/12/1976|Hidrogeología
Atlas de Aguas Subterráneas Escala 1:500.000. Planchas 5-01 5-02, 5-03, 5-04, 5-09. Versión 1.0. Año 2000|Fecha: 01/12/2000|Hidrogeología
Proyecto Reconocimiento Hidrogeológico del Parque Nacional Natural Los Nevados. Sección Caldas. Informe de Avance, Recopilación y Análisis de la Información Geológica e Hidrogeológica. Versión año 2000. Producto|Fecha: 01/10/2000|Hidrogeología
Sección geoeléctrica CC` - DD` - EE` - GG` - II` - JJ` - KK` - LL`|Fecha: 01/07/1984|Hidrogeología
Informe Técnico. Recopilación de Información Hidrogeológica para el Atlas de Aguas Subterráneas. Plancha 5-06.|Fecha: 01/03/2002|Hidrogeología
Memoria Técnica Informe de Recopilación de los Tres Parámetros de Vulnerabilidad (G,O,D) de la Plancha 5-14.|Fecha: 01/09/2002|Hidrogeología
Anuario hidrológico 1982 -Área hidrográfica No. 2 Magdalena Cauca - Plancha No. 5 de 6|Fecha: 01/05/1984|Hidrogeología
Sondeos Geoeléctricos y Cortes.|Fecha: 01/07/1986|Hidrogeología
Estudio hidrogeológico del acuífero de Morroa. Versión año 1992. Producto|Fecha: 01/02/1993|Hidrogeología
Prospección Geoeléctrica Complementaria para Aguas Subterráneas en las Veredas Aceituno y San Antonio del Municipio de Ortega Departamento de Tolima. Versión año 2002. Producto|Fecha: 01/08/2002|Hidrogeología
Mapa de Características Geoeléctricas del Atlas de Aguas Subterráneas de Colombia a Escala 1:500.000. Plancha 5-13, 5-14. Versión año 2003. Producto|Fecha: 30/05/2003|Hidrogeología
Perforación, análisis y resultados obtenidos en la construcción del pozo 24 IV A-13 Salamina, Magdalena. Versión año 1992.|Fecha: 01/01/1992|Hidrogeología
Investigación de Aguas Subterráneas Región Valles de San Nicolás. Fase ll. Versión año 2000. Producto|Fecha: 01/11/2000|Hidrogeología
Mapa Geológico - Evaluación del Riesgo de Contaminación de los Acuíferos Cuaternarios en la Zona Muña, Sibate Sabana de Bogotá. Año 1992|Fecha: 31/10/1992|Hidrogeología
Estudio hidorgeológico del acúifero de Morroa. Colunma estatigráfica generalizada de la formación Morroa camino las Flores - Morroa - Corozal. Fig. 3|Fecha: 01/01/1986|Hidrogeología
Inventario de Datos Hidrogeológicos en La Zona de Bosa, Soacha y Sibaté, Proyecto PIC 2. Contrato 090/86 entre INGEOMINAS y La CAR. Versión año 1987. Informe 2011. Producto|Fecha: 01/02/1987|Hidrogeología
Pozo Usme 1, Santa Librada. -|Fecha: 01/01/1988|Hidrogeología
Informe de los resultados obtenidos en la construcción del pozo 9 II D-54, Uribía. Año 1986. Informe 2016|Fecha: 01/06/1986|Hidrogeología
Informe pozo Apiay : Contrato No.39, Jal-Dinsa Fac-Ingeominas. -|Fecha: 01/12/1987|Hidrogeología
Análisis de las pruebas de bombeo en los pozos Coca-Cola 1 y 2 Neiva, Huila. Año 1987. Informe 2047|Fecha: 01/06/1987|Hidrogeología
Análisis de las pruebas de bombeo en los pozos WSW-2, WSW-3, WSW-4, Caño Limón. Versión año 1987. Producto|Fecha: 01/07/1987|Hidrogeología
Análisis de Las Pruebas de Bombeo en El Pozo WSW-1 Caño Limón, Informe Técnico. Versión año 1987. Informe 2049. Producto|Fecha: 01/06/1987|Hidrogeología
Informe Hidrometeorológico del Área del Proyecto Estudio Hidrogeológico Cuantitativo de la Sabana de Bogotá. Versión año 1991. Informe 2146. Producto|Fecha: 01/07/1991|Hidrogeología
Evaluación de la Recarga Proveniente de la Precipitación en las Subcuencas Bojacá, Subachoque. Proyecto: Estudio Hidrogeológico Cuantitativo de la Sabana de Bogotá. Versión año 1990. Informe. 2156. Producto|Fecha: 01/05/1992|Hidrogeología
Resultados de la perforación, construcción y análisis del pozo 345 II-A-046-Potosi 2, Municipio de Campo Alegre - Huila. Año 2000|Fecha: 01/07/2000|Hidrogeología
La zona de estudio corresponde a la Vereda Río Frío está localizada en el kilómetro 15 por la Vía Panamericana que de Neiva conduce al Municipio de Campoalegre|Fecha: 01/06/2003|Hidrogeología
Proyecto Ordenamiento Territorial de las Zonas Mineras de la Sabana de Bogotá - Fase I - Evaluación de Recurso Hídrico Superficial. Año 1997|Fecha: 05/09/1997|Hidrogeología
Informe técnico de comisión: Sincelejo y municipios del Departamento de Sucre.-|Fecha: 01/12/1999|Hidrogeología
Evaluación de Acuiferos del valle del Magdalena - Secuencia de actividades.|Fecha: 31/12/1974|Hidrogeología
Resultados de la Perforación, Construcción y Análisis del Pozo 323 IV D 024 Las Mercedes, Rivera – Huila. Año 2000|Fecha: 01/03/2000|Hidrogeología
Antecedentes sobre la Perforación, Construcción del Pozo 227-IV-D-103 Ingeominas y Resultados de las Pruebas de Bombeo, Bogotá, Cundinamarca. Versión año 2000. Producto|Fecha: 01/10/2000|Hidrogeología
Estudio Hidrogeológico del Acuífero Profundo en la Pared Alta del Tajo Principal. Versión año 1986. Producto|Fecha: 01/11/1986|Hidrogeología
III Simposio Colombiano de Hidrogeología, Estudio Hidrogeológico mediante Técnicas Isotópicas en el Tunel de Chivor Proyecto Guavio. Versión año 1988. Producto|Fecha: 07/12/1988|Hidrogeología
Localización de Pozos Profundos para El Acueducto de Riohacha. Versión año 1988. Informe No. 2084. Producto|Fecha: 01/12/1988|Hidrogeología
Esquema de un pozo de recolección y de una captación horizontal de agua subterranea. Versión año 1955. Producto|Fecha: 31/12/1955|Hidrogeología
El Esquema Hidrogeológico del Cono de Deyección|Fecha: 31/12/2003|Hidrogeología
Informe de Interventoría Contrato Interadministrativo 002 de 2001. Pozo No. 1, Los Pozos, Municipio de San Vicente del Caguán. Versión año 2002. Producto|Fecha: 01/04/2002|Hidrogeología
Informe Pozo Coliseo, Contrato No.143 INGEOMINAS, CAR, Informe 2036. Versión año 1986. Producto|Fecha: 01/05/1986|Hidrogeología
Proyecto hidroeléctrico Ermitaño. Estudio de evaluación ambiental. Inventario minero|Fecha: 01/12/1988|Hidrogeología
"Diagnóstico del ""Proyecto El Bosque"" municipio de Charalá - departamento de Santander - Preliminar"|Fecha: 01/01/1994|Hidrogeología
Estudio Hidrogeológico en La Finca Santa Cruz, Guaduas, Cundinamarca. Versión año 1986. Informe 2021. Producto|Fecha: 01/06/1986|Hidrogeología
Compilación Hidrogeológica de las Islas de San Andrés, Providencia y Santa Catalina, Colombia. Versión año 1989. Informe 2092. Producto|Fecha: 01/05/1989|Hidrogeología
Mapa de campo - Mapa Geólogico del Area Rivera - Parte Norte|Fecha: 01/12/1999|Hidrogeología
Geología e Inventario de Puntos de Agua al Norte del Brazo de Mompós entre las Poblaciones de Guamal y Santa Ana, Magdalena. Versión año 1989. Informe 2098. Producto|Fecha: 01/09/1989|Hidrogeología
Perforación, análisis y resultados obtenidos en la construcción del pozo 54 II C-102 Guamal, Magdalena. Año 1989. Informe 2104|Fecha: 01/08/1989|Hidrogeología
Aplicación de Técnicas Isotópicas en Los Estudios de Aguas Subterráneas, COL-8019, Frente Sabana de Bogotá. Proyecto de Cooperación Técnica INGEOMINAS – OIEA, Convenio Interinstitucional INGEOMINAS – CAR. Versión año 2001. Producto|Fecha: 01/03/2001|Hidrogeología
Creación de la Base de Datos para el Mapa Hidrogeológico de Colombia Escala 1:1`500.000 y Compilación, Selección y Procesamiento de Información Hidrogeológica Existente en Pozos e Informes.-|Fecha: 01/11/1996|Hidrogeología
Mapa de Áreas de Interés Hidrogeológico en Colombia.|Fecha: 01/12/2003|Hidrogeología
Mapa Geológico del Vaso del Embalse del Arroyo Sipanau. Versión año 1973.|Fecha: 01/05/1973|Hidrogeología
Mapa Hidrogeológico de la Media y Baja Guajira.|Fecha: 01/01/1988|Hidrogeología
Ejecución y Análisis de las Pruebas de Bombeo en los Pozos de San Benito Abad y La Unión de Sucre, Departamento de Sucre. Versión año 1991. Carta técnica 117. Producto|Fecha: 01/02/1991|Hidrogeología
Diseño y Ejecución de un Plan de Monitoreo del Sistema de Inyección de Aguas de Producción Generadas en las Facilidades Centrales de Producción. (CPF)|Fecha: 01/02/1995|Hidrogeología
5 pozos para Agua en Santa Marta.|Fecha: 30/06/1969|Hidrogeología
Prospección Geoeléctrica para Agua Subterránea en el Municipio de Canalete y en el Corregimiento de Popayán Departamento de Córdoba. Versión año 2002. Informe LGF-010. Producto|Fecha: 01/10/2002|Hidrogeología
Análisis de los Resultados de la Perforación y Terminación del Pozo Tuctu Localizado en el Km 63 +400 de la Vía Riohacha –Maicao. Año 1996|Fecha: 01/03/1996|Hidrogeología
Columna Estratigráfica, Concesión San Andrés.|Fecha: 01/12/1988|Hidrogeología
Inventario Minero Nacional. Versión 2000. Informe 2341. Producto|Fecha: 30/09/2000|Hidrogeología
Implementación de nuevas tecnólogas en perforación de pozos para aguas, F97MO1. Informe de comisión: Registro litológico del Pozo El Cairo, Socorro. Versión año 1997. Producto|Fecha: 01/08/1997|Hidrogeología
Evaluación de Acuiferos Alta y Media Guajira.-|Fecha: 30/04/1967|Hidrogeología
Informe Perforación, Análisis y Resultados Obtenidos en la Construcción de un Pozo de Agua en La Población de San Jorge. Versión año 1994. Producto|Fecha: 01/05/1994|Hidrogeología
Memorandum Sobre el Abastecimiento de las Granjas Ospina Pérez en el Municipio de Cota, con Aguas Subterráneas. Versión año 1954. Informe 1056. Producto|Fecha: 02/10/1954|Hidrogeología
Evaluación de la probable amenaza de Laguna Verde (PNNN) sobre el ecosistema circundante|Fecha: 06/09/2000|Hidrogeología
Observaciones para un Plan de Ordenamiento de las Labores Técnicas y Científicas del Instituto Geológico Nacional. Versión año 1957. Informe 1234. Producto|Fecha: 01/07/1957|Hidrogeología
Perforaciones de ensayo para un proyecto de acueducto de aguas subterráneas en Ubate. Departamento de Cundinamarca. Informe 1016. Producto|Fecha: 01/05/1954|Hidrogeología
Alcantarillado Sanitario Para Los Municipios de Fonseca, Maicao, Manaure y Villanueva.-|Fecha: 11/06/1984|Hidrogeología
Estado de los Estudios Hidrogeológicos de Colombia.|Fecha: 01/12/2005|Hidrogeología
